Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
CO2 emissions (kt),EN.ATM.CO2E.KT,Botswana,BWA,2702.579,3780.677,4506.743,3762.342,4686.426,4176.713,4231.718,5229.142,7033.306,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Brazil,BRA,208886.988,327983.814,387631.236,367147.374,419754.156,439412.943,470028.726,503677.118,529808.16,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,British Virgin Islands,VGB,66.006,102.676,161.348,165.015,172.349,176.016,176.016,176.016,179.683,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Brunei Darussalam,BRN,6193.563,4712.095,9119.829,7862.048,8203.079,9695.548,9666.212,7803.376,9108.828,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Bulgaria,BGR,74480.437,43530.957,50740.279,42665.545,44114.01,49346.819,44708.064,39599.933,42416.189,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Burkina Faso,BFA,583.053,1041.428,1917.841,1932.509,1961.845,2211.201,2629.239,3058.278,2849.259,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Burundi,BDI,209.019,271.358,190.684,190.684,212.686,242.022,282.359,289.693,440.04,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cabo Verde,CPV,95.342,216.353,469.376,524.381,557.384,616.056,506.046,498.712,491.378,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cambodia,KHM,1261.448,1976.513,3898.021,4653.423,5012.789,5207.14,5456.496,5603.176,6684.941,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cameroon,CMR,1734.491,3432.312,5544.504,6725.278,6780.283,5768.191,6127.557,6772.949,7003.97,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Canada,CAN,435181.225,534380.909,561028.998,536764.459,534670.602,537112.824,517457.704,517160.677,537193.498,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cayman Islands,CYM,249.356,465.709,583.053,557.384,557.384,586.72,535.382,535.382,542.716,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Central African Republic,CAF,198.018,267.691,253.023,253.023,264.024,278.692,293.36,297.027,300.694,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Chad,TCD,143.013,176.016,509.713,491.378,517.047,539.049,612.389,700.397,729.733,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Channel Islands,CHI,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Chile,CHL,33314.695,58815.013,71851.198,66805.406,72250.901,79243.87,80974.694,83226.232,82562.505,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,China,CHN,2442431.019,3405179.867,7553070.247,8001008.965,8776040.416,9733538.12,10028573.939,10258007.128,10291926.878,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Colombia,COL,57337.212,57923.932,68088.856,72661.605,76174.591,76530.29,79951.601,89625.147,84091.644,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Comoros,COM,62.339,102.676,106.343,132.012,161.348,135.679,143.013,176.016,154.014,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Dem. Rep.",COD,4070.37,814.074,1859.169,1749.159,2020.517,2493.56,2401.885,3589.993,4671.758,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Congo, Rep.",COG,1188.108,1048.762,1309.119,1745.492,1980.18,2258.872,2970.27,3087.614,3094.948,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Costa Rica,CRI,2955.602,5474.831,8129.739,7902.385,7568.688,7741.037,7766.706,7598.024,7759.372,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cote d'Ivoire,CIV,5034.791,6791.284,6776.616,5658.181,6967.3,7249.659,9295.845,10685.638,11045.004,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Croatia,HRV,,19339.758,22592.387,21165.924,20172.167,19809.134,17993.969,17550.262,16842.531,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cuba,CUB,33344.031,26083.371,30443.434,29897.051,38375.155,35987.938,36156.62,34799.83,34836.5,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Curacao,CUW,,,,,,,5999.212,5214.474,5881.868,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Cyprus,CYP,4374.731,6930.63,8577.113,8111.404,7708.034,7425.675,6919.629,5947.874,6061.551,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Czech Republic,CZE,,123849.258,116658.271,107659.453,111579.476,106907.718,101029.517,98675.303,96475.103,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Denmark,DNK,50230.566,51330.666,46933.933,44510.046,46640.573,40645.028,36427.978,38532.836,33498.045,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Djibouti,DJI,322.696,341.031,498.712,462.042,517.047,473.043,517.047,608.722,722.399,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominica,DMA,58.672,102.676,132.012,132.012,139.346,128.345,135.679,132.012,135.679,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Dominican Republic,DOM,9229.839,19790.799,20711.216,20227.172,21022.911,21228.263,22123.011,21440.949,21539.958,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ecuador,ECU,16827.863,20718.55,33868.412,36068.612,36460.981,38609.843,38140.467,40997.06,43919.659,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Egypt, Arab Rep.",EGY,75943.57,141326.18,198586.385,206734.459,202715.427,217163.407,217068.065,213412.066,201894.019,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,El Salvador,SLV,2511.895,5742.522,6545.595,6442.919,6457.587,6648.271,6662.939,6230.233,6285.238,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Equatorial Guinea,GNQ,66.006,454.708,4503.076,4620.42,4679.092,6127.557,5115.465,5163.136,5346.486,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Eritrea,ERI,,608.722,414.371,513.38,513.38,594.054,660.06,667.394,696.73,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Estonia,EST,,14858.684,17491.59,14565.324,18107.646,18606.358,17623.602,19893.475,19519.441,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ethiopia,ETH,3017.941,3549.656,6578.598,6629.936,6585.932,7726.369,8562.445,10634.3,11598.721,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Faroe Islands,FRO,711.398,689.396,630.724,575.719,630.724,568.385,590.387,678.395,597.721,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Fiji,FJI,814.074,843.41,894.748,792.072,1221.111,1089.099,1059.763,1151.438,1169.773,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Finland,FIN,51745.037,52427.099,56519.471,53149.498,62082.31,56816.498,49134.133,47219.959,47300.633,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,France,FRA,375691.484,362226.26,366325.966,351899.988,353033.091,331804.828,333227.624,334096.703,303275.568,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,French Polynesia,PYF,436.373,568.385,843.41,847.077,858.078,832.409,814.074,821.408,803.073,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Gabon,GAB,4499.409,4693.76,4173.046,4250.053,4811.104,4972.452,5104.464,5280.48,5192.472,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Gambia, The",GMB,176.016,245.689,366.7,381.368,432.706,447.374,454.708,432.706,513.38,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Georgia,GEO,,4536.079,5166.803,6241.234,6314.574,7972.058,8441.434,7858.381,8987.817,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Germany,DEU,,829977.779,780564.954,722263.321,758859.981,732497.918,739861.254,757312.507,719883.438,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ghana,GHA,3817.347,6288.905,9138.164,7708.034,9955.905,9831.227,11877.413,14620.329,14466.315,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Gibraltar,GIB,143.013,333.697,425.372,462.042,465.709,451.041,462.042,491.378,528.048,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Greece,GRC,74278.752,91616.328,95965.39,91942.691,83856.956,79841.591,80043.276,69482.316,67318.786,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Greenland,GRL,553.717,531.715,660.06,575.719,663.727,707.731,568.385,553.717,506.046,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Grenada,GRD,106.343,190.684,253.023,253.023,260.357,253.023,271.358,304.361,242.022,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guam,GUM,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guatemala,GTM,5086.129,9915.568,11430.039,11851.744,11664.727,11837.076,11972.755,13633.906,18327.666,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea,GIN,1004.758,1642.816,2189.199,2262.539,2603.57,2779.586,2581.568,2299.209,2449.556,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea-Bissau,GNB,172.349,146.68,227.354,234.688,238.355,245.689,253.023,256.69,271.358,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Guyana,GUY,1133.103,1609.813,1558.475,1565.809,1719.823,1782.162,1994.848,1936.176,2009.516,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Haiti,HTI,993.757,1367.791,2398.218,2269.873,2126.86,2218.535,2313.877,2405.552,2860.26,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Honduras,HND,2592.569,5031.124,8672.455,7873.049,7975.725,8954.814,8984.15,9064.824,9471.861,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Hong Kong SAR, China",HKG,27333.818,40439.676,43978.331,42148.498,40678.031,43794.981,43424.614,45005.091,46222.535,,,
