Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovak Republic,SVK,,35885.262,37711.428,34037.094,36240.961,34524.805,32764.645,33091.008,30678.122,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Slovenia,SVN,,14396.642,17355.911,15280.389,15335.394,15089.705,14781.677,14150.953,12812.498,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Solomon Islands,SLB,146.68,150.347,187.017,194.351,198.018,198.018,198.018,201.685,201.685,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Somalia,SOM,733.4,480.377,601.388,597.721,612.389,605.055,608.722,608.722,608.722,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,South Africa,ZAF,313304.813,378665.421,496772.157,503112.4,474099.096,470582.443,468770.945,466376.394,489771.854,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,South Sudan,SSD,,,,,,,1331.121,1448.465,1496.136,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Spain,ESP,218597.204,294434.431,329285.599,288237.201,270910.626,270547.593,264779.402,237034.88,233976.602,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Sri Lanka,LKA,3868.685,10238.264,12207.443,13175.531,13263.539,15137.376,16032.124,15489.408,18393.672,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Kitts and Nevis,KNA,106.343,172.349,216.353,223.687,220.02,231.021,220.02,223.687,231.021,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Lucia,LCA,161.348,330.03,396.036,385.035,403.37,407.037,407.037,407.037,407.037,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Martin (French part),MAF,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,St. Vincent and the Grenadines,VCT,80.674,146.68,227.354,311.695,220.02,198.018,253.023,209.019,209.019,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Sudan,SDN,5221.808,5533.503,14913.689,15562.748,15940.449,15658.09,14642.331,15474.74,15364.73,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Suriname,SUR,1771.161,2196.533,1943.51,2002.182,2401.885,1969.179,2258.872,1917.841,1991.181,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Swaziland,SWZ,425.372,1188.108,1096.433,1045.095,1037.761,1048.762,1206.443,1089.099,1202.776,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Sweden,SWE,51946.722,49350.486,49123.132,43065.248,52023.729,51734.036,47047.61,44847.41,43420.947,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Switzerland,CHE,42610.54,39049.883,40403.006,41646.119,38994.878,36967.027,37773.767,40226.99,35305.876,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Syrian Arab Republic,SYR,37359.396,51040.973,67681.819,62331.666,61605.6,56908.173,44730.066,36438.979,30703.791,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Tajikistan,TJK,,2236.87,2904.264,2453.223,2544.898,2350.547,2933.6,3479.983,5188.805,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Tanzania,TZA,2266.206,2651.241,6142.225,5918.538,7106.646,8093.069,9545.201,11177.016,11562.051,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Thailand,THA,90805.921,181270.811,252443.614,267602.992,281926.294,278317.966,296597.961,300088.945,316212.744,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Timor-Leste,TLS,,,201.685,227.354,234.688,245.689,293.36,440.04,469.376,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Togo,TGO,773.737,1360.457,1683.153,2783.253,2640.24,2464.224,2486.226,2658.575,2621.905,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Tonga,TON,77.007,95.342,121.011,132.012,117.344,102.676,106.343,113.677,121.011,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Trinidad and Tobago,TTO,17025.881,23839.167,44385.368,44895.081,47935.024,46933.933,45419.462,46541.564,46273.873,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Tunisia,TUN,13267.206,19922.811,24825.59,24788.92,27660.181,26021.032,27003.788,27667.515,28829.954,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkey,TUR,145858.592,216151.315,283979.814,277844.923,298002.422,320840.498,329560.624,324771.522,345981.45,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Turkmenistan,TKM,,37539.079,56831.166,50340.576,57289.541,62467.345,64872.897,66735.733,68422.553,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Turks and Caicos Islands,TCA,29.336,69.673,179.683,179.683,190.684,190.684,198.018,198.018,205.352,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Tuvalu,TUV,7.334,7.334,11.001,11.001,7.334,7.334,11.001,11.001,11.001,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Uganda,UGA,759.069,1430.13,3190.29,3380.974,3920.023,4264.721,4070.37,4869.776,5229.142,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Ukraine,UKR,,320902.837,311023.939,260100.31,304643.359,286392.7,295791.221,271875.047,227298.995,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,United Arab Emirates,ARE,52009.061,112562.232,157354.637,167959.601,160812.618,165440.372,176386.367,170706.184,211369.547,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,United Kingdom,GBR,555924.534,541784.582,520688.331,471719.213,493207.833,447828.708,468572.927,458250.322,419820.162,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,United States,USA,4823403.118,5693684.894,5614110.994,5263505.457,5395532.125,5289680.503,5119436.361,5159160.972,5254279.285,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Uruguay,URY,3993.363,5306.149,8265.418,8060.066,6387.914,7763.039,8694.457,7587.023,6747.28,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Uzbekistan,UZB,,121828.741,123900.596,107131.405,104168.469,113684.334,115814.861,103354.395,105213.564,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Vanuatu,VUT,66.006,84.341,95.342,121.011,121.011,132.012,113.677,106.343,154.014,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Venezuela, RB",VEN,122162.438,152422.522,179114.615,179789.343,189070.52,176822.74,198766.068,183922.052,185220.17,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Vietnam,VNM,21407.946,53644.543,117993.059,128634.693,142737.975,152169.499,142220.928,147230.05,166910.839,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Virgin Islands (U.S.),VIR,,,,,,,,,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,West Bank and Gaza,PSE,,792.072,2053.52,2090.19,2035.185,2247.871,2200.2,2438.555,,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,"Yemen, Rep.",YEM,9596.539,14642.331,22339.364,24561.566,23432.13,19666.121,18668.697,25496.651,22698.73,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Zambia,ZMB,2445.889,1822.499,2170.864,2508.228,2691.578,2937.267,3667,3956.693,4503.076,,,
CO2 emissions (kt),EN.ATM.CO2E.KT,Zimbabwe,ZWE,15643.422,13923.599,7770.373,5603.176,7777.707,9563.536,7792.375,11675.728,12020.426,,,
